,name,score,people,director,author,type,eare,year,中国大陆,中国台湾,中国香港,eare_lu,eare_dalu
75,外乡人,9.3,6489.0, 管虎, 丁嘉丽 / 郑则仕 / 黄渤, 剧情 / 家庭, 中国大陆,2009.0,1,0,0,,大陆
77,光阴的故事 光陰的故事,9.3,7614.0, 陈俊良 / 万东文, 陈怡蓉 / 赖雅妍 / 杨一展, 剧情, 中国台湾,2008.0,0,1,0,,不是大陆
78,贞观之治,9.2,10405.0, 张建亚, 马跃 / 苗圃 / 马精武, 剧情 / 历史 / 战争 / 古装, 中国大陆,2006.0,1,0,0,,大陆
79,大地恩情,9.1,493.0, 李兆熊 / 徐小明, 刘志荣 / 余安安 / 潘志文, 剧情, 中国香港,1980.0,0,0,1,,不是大陆
80,茶馆,9.2,11728.0, 何群, 陈宝国 / 梁天 / 谢钢, 剧情, 中国大陆,2010.0,1,0,0,,大陆
81,上海沧桑,9.1,1263.0, 黄蜀芹, 巍子 / 严晓频 / 王琳, 剧情 / 战争, 中国大陆,1999.0,1,0,0,,大陆
82,百年虚云,9.1,2055.0, 陈家林, 李起厚 / 尹治 / 斯琴高娃, 剧情, 中国大陆,2009.0,1,0,0,,大陆
83,无限生机,9.3,3209.0, 徐庆东, 王茜 / 刘钧 / 王挺, 剧情, 中国大陆,2005.0,1,0,0,,大陆
84,我们的法兰西岁月,9.2,6865.0, 康洪雷, 朱亚文 / 钟秋 / 李艺科, 剧情 / 历史, 中国大陆,2012.0,1,0,0,,大陆
85,危险心灵 危險心靈,9.1,1814.0, 易智言 / 杨雅喆, 黄河 / 桂纶镁 / 李烈, 剧情, 中国台湾,2006.0,0,1,0,,不是大陆
86,地下交通站,9.3,22902.0, 英达, 吴樾 / 鲍大志 / 刘金山, 剧情 / 喜剧, 中国大陆,2007.0,1,0,0,,大陆
87,东周列国·春秋篇,9.2,5303.0, 沈好放, 王绘春 / 林乃桢 / 郑强, 剧情 / 传记 / 历史 / 战争 / 古装, 中国大陆,1996.0,1,0,0,,大陆
88,记忆的证明,9.1,3037.0, 杨阳, 段奕宏 / 裴秀彬 / 矢野浩二, 剧情 / 历史 / 战争, 中国大陆,2002.0,1,0,0,,大陆
89,名扬四海 名揚四海,8.8,646.0, 蔡岳勋, 尤秋兴 / 张惠春 / 虞小卉, 剧情 / 爱情 / 家庭, 中国台湾,2003.0,0,1,0,,不是大陆
91,浮生六劫,8.8,359.0, 李兆熊, 岳华 / 陈秀雯 / 张国荣, 剧情, 中国香港,1980.0,0,0,1,,不是大陆
92,执到宝 執到寶,8.9,119.0, 甘国亮, 甘国亮 / 林子祥 / 欧阳佩珊, 喜剧 / 悬疑, 中国香港,1980.0,0,0,1,,不是大陆
93,孽子,8.8,10377.0, 曹瑞原, 范植伟 / 张孝全 / 杨祐宁, 剧情 / 同性, 中国台湾,2003.0,0,1,0,,不是大陆
94,少年特工,8.8,3477.0, 郑方南, 杨溢 / 张璋 / 李东, 剧情 / 动作 / 儿童, 中国大陆,1992.0,1,0,0,,大陆
95,动什么，别动感情,8.8,2295.0, 唐大年, 陶虹 / 张涵予 / 张子晨, 剧情, 中国大陆,2005.0,1,0,0,,大陆
96,孝子,8.9,1213.0, 杨克, 许亚军 / 咏梅 / 严敏求, 家庭, 中国大陆,2006.0,1,0,0,,大陆
97,十月围城,8.7,12567.0, 鞠觉亮 / 邹集成, 钟汉良 / 张晓龙 / 刘筱筱, 剧情 / 历史 / 战争, 中国大陆,2014.0,1,0,0,,大陆
98,征服,9.0,24441.0, 高群书, 孙红雷 / 石兆琪 / 江珊, 剧情 / 犯罪, 中国大陆,2003.0,1,0,0,,大陆
100,圣稜的星光 聖稜的星光,8.6,154.0, 郑德华 / 王金贵 / 吕蒔媛 / 辛建宗, 杨祐宁 / 李康宜 / 张大镛, 剧情 / 爱情 / 家庭, 中国台湾,2005.0,0,1,0,,不是大陆
101,沉默的证人,8.9,6967.0, 姜伟, 王志飞 / 林熙越 / 董勇, 剧情 / 悬疑 / 犯罪, 中国大陆,2004.0,1,0,0,,大陆
102,儿女情长,8.7,1199.0, 石晓华, 奇梦石 / 王玉梅 / 奚美娟, 剧情 / 家庭, 中国大陆,1996.0,1,0,0,,大陆
103,创世纪2：天地有情 創世紀2：天地有情,8.6,10929.0, 戚其义, 罗嘉良 / 郭晋安 / 陈锦鸿, 剧情, 中国香港,2000.0,0,0,1,,不是大陆
104,永不回头,8.7,2457.0, 张辉, 李保田 / 姜武 / 闫妮, 剧情 / 家庭, 中国大陆,2010.0,1,0,0,,大陆
106,赴宴,8.6,81.0, 王小棣, 周幼婷 / 蓝正龙 / 张国栋, 剧情 / 爱情 / 家庭 / 历史, 中国台湾,2003.0,0,1,0,,不是大陆
107,一地鸡毛,8.7,4855.0, 冯小刚, 陈道明 / 徐帆 / 修宗迪, 剧情, 中国大陆,1995.0,1,0,0,,大陆
109,苍穹之昴,8.8,15444.0, 汪俊, 田中裕子 / 殷桃 / 周一围, 剧情 / 古装, 中国大陆/日本,2010.0,1,0,0,,大陆
110,一触即发,8.7,10759.0, 甘露, 钟汉良 / 李立群 / 杨蕊, 剧情, 中国大陆,2012.0,1,0,0,,大陆
